Achondrostoma occidentale;Western Ruivaco;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135683/0
Bythiospeum dubium;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155810/0
Hauffenia wienerwaldensis;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/9746/0
Telestes beoticus;Paskóviza;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/60635/0
Belgrandiella aulaei;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156129/0
Salaria economidisi;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61353/0
Coregonus vandesius;Vendace;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135640/0
Bythinella lunzensis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/171967/0
Numenius tenuirostris;Slender-billed Curlew;Critically Endangered;;http://www.iucnredlist.org/apps/redlist/details/143992/0
Belgrandiella ganslmayri;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2732/0
Henrigirardia wienini;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156028/0
Puffinus mauretanicus;Balearic Shearwater;Critically Endangered;;http://www.iucnredlist.org/apps/redlist/details/150509/0
Plagigeyeria deformata;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155340/0
Salmo peristericus;;Endangered;Stable;http://www.iucnredlist.org/apps/redlist/details/61231/0
Erioderma pedicellatum;Boreal Felt Lichen;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/43995/0
Ropalopus ungaricus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/157487/0
Plecotus teneriffae;Canary Big-eared Bat;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/17602/0
Acipenser naccarii;Adriatic Sturgeon;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/224/0
Gallotia auaritae;La Palma Giant Lizard;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61501/0
Romanichthys valsanicola;Asprete;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/19740/0
Rostroraja alba;Bottlenose Skate;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61408/0
Bythiospeum wiaaiglica;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/164845/0
Gyrocaryum oppositifolium;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61661/0
Iglica gratulabunda;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/10798/0
Rutilus meidingeri;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/40705/0
Helichrysum melitense;Maltese Everlasting;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61623/0
Leucoraja melitensis;Maltese Skate Or Ray;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61405/0
Calendula maritima;Sea Marigold;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61618/0
Antirrhinum subbaeticum;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61676/0
Centranthus amazonum;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/61647/0
Genista ancistrocarpa;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/164383/0
Horstrissea dolinicola;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61613/0
Iberocypris palaciosi;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/60375/0
Apium bermejoi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61608/0
Squalius malacitanus;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/135649/0
Sardohoratia islamioides;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155651/0
Bythiospeum elseri;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/3404/0
Iberolacerta aurelioi;Aurelio's Rock Lizard;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61513/0
Horatia lucidulus;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155497/0
Crocidura canariensis;Canarian Shrew;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/5560/0
Bombina pachypus;Appenine Yellow-bellied Toad;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/54450/0
Prespolitorea valvataeformis;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/155739/0
Belgrandia bonelliana;;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156090/0
Alburnus mandrensis;Mandras Shemaya;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135598/0
Podarcis raffonei;Aeolian Wall Lizard;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61552/0
Pararge xiphia;Madeiran Speckled Wood;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/173215/0
Convolvulus argyrothamnos;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/61677/0
Calotriton arnoldi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/136131/0
Microtus bavaricus;Bavarian Pine Vole;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/13461/0
Belgrandia conoidea;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/156147/0
Belgrandiella styriaca;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/2729/0
Balaenoptera borealis;Sei Whale;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/2475/0
Cottus rondeleti;Hérault Sculpin;Critically Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135648/0
Bythinella markovi;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/172039/0
Gallotia intermedia;Tenerife Speckled Lizard;Critically Endangered;Increasing;http://www.iucnredlist.org/apps/redlist/details/61505/0
Mercuria vindilica;;Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/155906/0
Cobitis trichonica;;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/5038/0
Phoxinus strandjae;Strandzha Minnow;Endangered;Unknown;http://www.iucnredlist.org/apps/redlist/details/135585/0
Anapistula ataecina;;Critically Endangered;Decreasing;http://www.iucnredlist.org/apps/redlist/details/176265/0
