ES_2008;Algyroides marchi;Anguilla anguilla;Balaenoptera borealis;Balaenoptera musculus;Balaenoptera physalus;Calotriton arnoli;Chalcides mauritanicus;Chalcides parallelus;Chalcides simonyi;Columba junoniae;Crocidura canariensis;Eubalaena glacialis;Gallotia auaritae;Gallotia bravoana;Gallotia intermedia;Gallotia simonyi;Iberolacerta aranica;Iberolacerta aurelioi;Iberolacerta cyreni;Iberolactera martinezricai;Lynx pardinus;Monachus monachus;Mustela lutreola;Neophron percnopterus;Oxyura leucocephala;Pipistrellus maderensis;Plecotus teneriffae;Podarcis carbonelli;Podarcis lilfordi;Rana pyrenaica;Rynchospora modesti-lucennooi;Squalius malacitanus;;;;;;;;;;;;;;;
ES_2007;Pilularia minuta;Pristis perotteti;Rhinobatos cemiculus;Rhinobatos rhinobatos;Sphyrna mokarran;Squatina aculeata;Squatina oculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ES_2006;Allium rouyi;Anaecypris hispanica;Anthirrhinum subbaeticum;Aphanius baeticus;Asphanius iberus;Apium bermejoi;Arenaria bolosii;Arenaria nevadensis;Astragalus cavanillesii;Brimeura duvigneaudii;Cerastium sventenii;Cobitis calderoni;Cobitis vettonica;Diplotaxis siettiana;Dipturus batis;Echium acanthocarpum;Echium handiense;Echium valentinum;Euphorbia margalidiana;Femeniasia balearica;Gyrocaryum oppositifolium;Helianthemum guerrae;Iberochondrostoma oretanum;Iberocypris palaciosi;Jasione mansanetiana;Ligusticum huteri;Lithodora nitida;Medicago citrina;Mobula mobular;Moehringia fontqueri;Narcissus alcaracensis;Narcissus bugei;Narcissus longispathus;Narcissus radinganorum;Naufraga balearica;Parachondrostoma arrigonis;Parachondrostoma turiense;Rostroraja alba;Senecio alboranicus;Silene diclinis;Silene fernandezii;Silene gazulensis;Silene sennenii;Solenathus reverchonii;Squatina squatina;Succisella andreae-molinae;Valencia hispanica
ES_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ES_2004;Epinephelus marginatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ES_2003;Raja undulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2010;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2009;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2008;Anguilla anguilla;Coregonus trybomi;Mustela lutreola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2007;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2006;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2004;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FI_2003;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2010;Austropotamobius pallipes;Graziana cezairensis;Graziana provincialis;Graziana trinitatis;Margaritifera auricularia;Puffinus mauretanicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2009;Acipenser sturio;Ampedus quadrisignatus;Belgrandia conoidea;Belgrandia moitessieri;Belgrandia varica;Bythinella carinulata;Bythinella eutrepha;Bythinella viridis;Bythiospeum klemmi;Henrigirardia wienini;Limoniscus violaceus;Mercuria meridionalis;Mercuria vindilica;Paladilhia gloeeri;Plagigeyeria deformata;Ropalopus ungaricus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2008;Anguilla anguilla;Balaenoptera musculus;Balaenoptera physalus;Cottus rondeleti;Eubalaena glacialis;Iberolacerta aranica;Iberolacerta aurelioi;Limonium legrandii;Mercuria sarahae;Monachus monachus;Mustela lutreola;Neophron percnopterus;Rana pyrenaica;Weissia multicapsularis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2007;Pilularia minuta;Rhinobatos cemiculus;Rhinobatos rhinobatos;Sphyrna mokarran;Squatina aculeata;Squatina oculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2006;Anchusa crispa;Biscutella rotgesii;Centranthus trinervis;Dipturus batis;Limonium strictissimum;Mobula mobular;Naufraga balearica;Rostroraja alba;Squantina squantina;Zingel asper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2004;Epinephelus marginatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FR_2003;Raja undulata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2010;Numenius tenuirostris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2009;Acipenser naccarii;Acipenser stellatus;Anaglyptus luteofasciatus;Anaglyptus praecellens;Boyeria cretensis;Buprestis splendens;Isotomus jarmilae;Osmoderma Iassallei;Parabythinella macedonia;Parabythinella malaprespensis;Pisidium maasseni;Prespolitorea malaprespensis;Prespolitorea valvataeformis;Pseudosphegesthes bergeri;Pyrgohydrobia prespaensis;Pyrrhosoma elisabethae;Radix pinteri;Stenopterus creticus;Trichoferus bergeri;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2008;Alburnus macedonicus;Alburnus vistonicus;Alburnus volviticus;Anguilla anguilla;Aphanius almiriensis;Balaenoptera musculus;Balaenoptera physalus;Branta ruficollis;Macrovipera schweizeri;Monachus monachus;Neophron percnopterus;Oxyura leucocephala;Pelophylax cerigensis;Pelophylax cretensis;Phoxinus strymonicus;Podarcis cretensis;Rutilus ylikiensis;Squalius moreoticus;Squalius sp. Nov. 'Evia';;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2007;Cordulegaster helladica;Pilularia minuta;Rhinobatos cemiculus;Rhinobatos rhinobatos;Squatina oculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GR_2006;Aethionema retsina;Alosa vistonica;Anthemis glaberrima;Barbus euboicus;Bupleurum kakiskalae;Cobitis arachthosensis;Cobitus hellenica;Cobitis stephanidisi;Cobitis trichonica;Consolida samia;Convolvulus argyrothamnos;Dipturus batis;Economidichthys trichonis;Eudontomyzon hellenicus;Horstrissea dolinicola;Knipowitschia milleri;Knipowitschia thessala;Luciobarbus graecus;Minuartia dirphya;Mobula mobular;Pelasgus epiroticus;Pelasgus Iaconicus;Pelasgus prespensis;Polygala helenae;Pungitius hellenicus;Rostroraja alba;Salaria economidisi;Salmo peristericus;Saponaria jagelii;Scardinius graecus;Squalius keadicus;Squatina squatina;Telestes beoticus;Valencia letourneuxi;;;;;;;;;;;;;
GR_2005;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
